feature,accuracy,precision,recall,specificity,f1-score,AuROC
R-MemOffsetMode.MEAN-1000/rf/None,0.540324962615,0.75618729097,0.75367395872,0.708854261257,0.751321650611,0.731264109988
R-MemOffsetMode.MEAN-1000/rf/std,0.541133069791,0.826207961973,0.718269230769,0.814416974519,0.767592685728,0.766343102644
R-MemOffsetMode.SUM_REF_ASC-5000/svm/None,0.6142714604,0.631500556665,0.85983625731,0.152884615385,0.715079702775,0.506360436347
R-MemOffsetMode.SUM_REF_ASC-5000/svm/std,0.614186507937,0.610138888889,0.984,0.0,0.752038109674,0.492
R-MemOffsetMode.SUM_REF_ASC-5000/rf/None,0.620774410774,0.765455612275,0.745414781297,0.637465034965,0.75066609418,0.691439908131
R-MemOffsetMode.SUM_REF_ASC-5000/rf/std,0.612299442498,0.768434343434,0.639314814815,0.683888888889,0.694064036696,0.661601851852
R-MemOffsetMode.MEAN-2000/svm/None,0.583009096167,0.56402520942,0.913239623122,0.0117647058824,0.695398589631,0.462502164502
R-MemOffsetMode.MEAN-2000/svm/std,0.586294878751,0.562696817926,0.906284029038,0.0,0.69047152351,0.453142014519
R-MemOffsetMode.MEAN-2000/rf/None,0.585334903192,0.751403625111,0.811096304662,0.595555555556,0.77474211486,0.703325930109
R-MemOffsetMode.MEAN-2000/rf/std,0.584188099482,0.723954964426,0.832556332556,0.541827419227,0.765258348942,0.687191875892
R-MemOffsetMode.MIN_REF-5000/svm/None,0.610607133491,0.677273800157,0.813333333333,0.2,0.619511632159,0.506666666667
R-MemOffsetMode.MIN_REF-5000/svm/std,0.617381131413,0.618746066641,0.90408823061,0.111826865945,0.730957582261,0.507957548277
R-MemOffsetMode.MIN_REF-5000/rf/None,0.622220662221,0.815358758888,0.675441176471,0.752226890756,0.730938837895,0.713834033613
R-MemOffsetMode.MIN_REF-5000/rf/std,0.605368992774,0.785073561704,0.673741765481,0.723929110106,0.702586284943,0.698835437793
W-MemOffsetMode.MIN_REF-5000/svm/None,0.645366609197,0.570639165588,0.744976076555,0.0923076923077,0.632886110542,0.418641884431
W-MemOffsetMode.MIN_REF-5000/svm/std,0.622978187674,0.627958051766,0.930871742636,0.0904761904762,0.748142349327,0.510673966556
